datetime,open,high,low,close,volume
2025-02-25 09:30:00+00:00,188.986,189.072,188.862,188.978,4626
2025-02-25 09:45:00+00:00,188.978,189.002,188.848,188.853,4895
2025-02-25 10:00:00+00:00,188.854,189.058,188.815,188.992,4622
2025-02-25 10:15:00+00:00,188.992,189.054,188.948,188.994,3977
2025-02-25 10:30:00+00:00,188.994,189.154,188.89,189.152,3646
2025-02-25 10:45:00+00:00,189.152,189.164,188.994,189.092,3405
2025-02-25 11:00:00+00:00,189.094,189.156,189.024,189.056,3900
2025-02-25 11:15:00+00:00,189.058,189.295,189.042,189.238,3451
2025-02-25 11:30:00+00:00,189.235,189.486,189.216,189.37,4198
2025-02-25 11:45:00+00:00,189.368,189.582,189.332,189.56,4013
2025-02-25 12:00:00+00:00,189.553,189.553,189.306,189.306,4606
2025-02-25 12:15:00+00:00,189.303,189.392,189.256,189.276,4772
2025-02-25 12:30:00+00:00,189.277,189.331,189.19,189.303,4361
2025-02-25 12:45:00+00:00,189.306,189.468,189.228,189.466,4134
2025-02-25 13:00:00+00:00,189.464,189.652,189.45,189.616,5189
2025-02-25 13:15:00+00:00,189.616,189.658,189.517,189.596,5022
2025-02-25 13:30:00+00:00,189.593,189.748,189.456,189.458,4762
2025-02-25 13:45:00+00:00,189.454,189.484,189.265,189.346,4402
2025-02-25 14:00:00+00:00,189.348,189.415,189.12,189.15,5108
2025-02-25 14:15:00+00:00,189.152,189.212,189.069,189.186,4980
2025-02-25 14:30:00+00:00,189.196,189.369,189.14,189.144,5960
2025-02-25 14:45:00+00:00,189.144,189.187,188.815,188.892,5407
2025-02-25 15:00:00+00:00,188.896,188.9,188.512,188.578,7073
2025-02-25 15:15:00+00:00,188.584,188.682,188.354,188.434,6895
2025-02-25 15:30:00+00:00,188.434,188.692,188.272,188.542,6763
2025-02-25 15:45:00+00:00,188.536,188.688,188.399,188.634,6712
2025-02-25 16:00:00+00:00,188.634,188.724,188.488,188.612,6340
2025-02-25 16:15:00+00:00,188.612,188.666,188.413,188.439,5031
2025-02-25 16:30:00+00:00,188.44,188.464,188.164,188.354,5228
2025-02-25 16:45:00+00:00,188.354,188.668,188.314,188.612,4892
2025-02-25 17:00:00+00:00,188.612,188.687,188.554,188.64,4478
2025-02-25 17:15:00+00:00,188.635,188.664,188.374,188.664,3559
2025-02-25 17:30:00+00:00,188.664,188.72,188.598,188.638,3124
2025-02-25 17:45:00+00:00,188.637,188.78,188.626,188.778,3608
2025-02-25 18:00:00+00:00,188.777,189.054,188.776,188.943,3940
2025-02-25 18:15:00+00:00,188.939,189.021,188.81,188.834,3405
2025-02-25 18:30:00+00:00,188.832,189.123,188.728,189.088,4025
2025-02-25 18:45:00+00:00,189.089,189.13,188.912,188.934,3919
2025-02-25 19:00:00+00:00,188.932,188.942,188.711,188.758,3177
2025-02-25 19:15:00+00:00,188.758,188.816,188.706,188.756,4303
2025-02-25 19:30:00+00:00,188.755,188.928,188.718,188.92,3692
